name,sku,brand,category,reasons
KORBIN - Matte Black Gloss Black - Black Mirror,HRZ-100-0628,100Percent,100Percent,repeated word: black
ARMEGA / ARMATIC Replacement - Injected Dual Pane Vented Mirror Silver Flash Lens,HRZ-100-1198,100Percent,Helmets Accessories,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 DODGER HANDLE RISER,HRZ-LEG-2284,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 TRICORN FRONT OIL CAP,HRZ-LEG-2285,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM  Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 VAMBRACE BASHPLATE,HRZ-LEG-2286,Legundary Customs,Protection,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 TITAN MASTERCYLINDER GUARD,HRZ-LEG-2287,Legundary Customs,Protection,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 OCULUS SHIELD-ACRYLIC,HRZ-LEG-2289,Legundary Customs,Helmets Accessories,unusually long (>80 chars)
KTM Adventure 390(2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 CUSTOS COOLANT CAP,HRZ-LEG-2290,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 CASQUE REAR OIL CAP,HRZ-LEG-2291,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/  250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 VECTOR RADIATOR GRILL,HRZ-LEG-2292,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM  Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 VECTOR RADIATOR GRILL,HRZ-LEG-2293,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 VAMBRACE BASHPLATE,HRZ-LEG-2294,Legundary Customs,Protection,unusually long (>80 chars)
KTM Adventure 390 (2025 Model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 GOPHER LUGGUAGE CARRIER,HRZ-LEG-2295,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM  Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 GOPHER LUGGUAGE CARRIER,HRZ-LEG-2296,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/  250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 CASUS SADDLE STAY,HRZ-LEG-2297,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/ KTM 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 RAPTOR CRASHGUARD,HRZ-LEG-2298,Legundary Customs,Protection,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 RAPTOR CRASHGUARD,HRZ-LEG-2299,Legundary Customs,Protection,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 ROTEX FRONT WHEEL SLIDER,HRZ-LEG-2300,Legundary Customs,Protection,unusually long (>80 chars)
KTM  Adventure 390 (2025 model) /  250 ADV/390 ADV X+/390 ADV S 2025 FORTIS SIDE STAND BASE,HRZ-LEG-2301,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 VELOX PADDOCK SPOOL,HRZ-LEG-2302,Legundary Customs,Legundary Customs,unusually long (>80 chars)
KTM  Adventure 390 (2025 model)/ 250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 PLOIGOS GPS MOUNT,HRZ-LEG-2303,Legundary Customs,Accessories,unusually long (>80 chars)
KTM Adventure 390 (2025 model)/250 ADV/390 ADV R/390 ADV X+/390 ADV S 2025 COSMIC HEADLIGHT GRILL,HRZ-LEG-2304,Legundary Customs,Lights,unusually long (>80 chars)
SUMP GUARD MILD STEEL v.1 FOR KAWASAKI KLX 230 COMPATIBLE ONLY WITH MOTO TORQUE CRASH GUARD,HRZ-MOT-2877,MotoTorque,Riding Gears,unusually long (>80 chars)
